iter	Passed	Remaining
401	16697	8224
402	16778	8202
403	16824	8162
404	16868	8121
405	16911	8080
406	16957	8041
407	17015	8007
408	17069	7971
409	17130	7938
410	17190	7905
411	17246	7869
412	17299	7832
413	17352	7796
414	17406	7759
415	17465	7725
416	17526	7691
417	17593	7660
418	17648	7623
419	17713	7591
420	17764	7553
421	17826	7519
422	17877	7480
423	17932	7443
424	17978	7402
425	18032	7365
426	18085	7327
427	18134	7287
428	18179	7246
429	18228	7206
430	18275	7165
431	18337	7131
432	18406	7098
433	18484	7070
434	18538	7032
435	18591	6993
436	18641	6953
437	18692	6913
438	18745	6874
439	18795	6834
440	18847	6795
441	18899	6755
442	18953	6717
443	19004	6677
444	19056	6637
445	19108	6598
446	19162	6559
447	19211	6518
448	19266	6479
449	19332	6444
450	19395	6407
451	19448	6368
452	19505	6329
453	19570	6293
454	19630	6255
455	19685	6216
456	19746	6178
457	19811	6142
458	19868	6103
459	19925	6064
460	19981	6024
461	20030	5983
462	20083	5942
463	20145	5904
464	20201	5864
465	20270	5828
466	20332	5790
467	20382	5748
468	20433	5707
469	20486	5666
470	20537	5624
471	20589	5583
472	20646	5543
473	20695	5501
474	20743	5458
475	20808	5420
476	20868	5381
477	20922	5340
478	20977	5299
479	21028	5257
480	21095	5219
481	21165	5181
482	21227	5141
483	21284	5101
484	21343	5060
485	21403	5020
486	21458	4979
487	21512	4937
488	21562	4894
489	21609	4851
490	21656	4807
491	21701	4763
492	21744	4719
493	21786	4674
494	21835	4631
495	21882	4588
496	21931	4545
497	21976	4501
498	22021	4457
499	22071	4414
500	22122	4371
501	22168	4327
502	22220	4285
503	22278	4243
504	22341	4202
505	22387	4158
506	22438	4115
507	22486	4072
508	22531	4028
509	22577	3984
510	22634	3942
511	22688	3899
512	22740	3856
513	22794	3813
514	22841	3769
515	22884	3725
516	22928	3680
517	22972	3636
518	23014	3591
519	23055	3547
520	23098	3502
521	23139	3457
522	23181	3412
523	23222	3368
524	23264	3323
525	23303	3278
526	23346	3233
527	23388	3189
528	23430	3144
529	23469	3099
530	23511	3055
531	23550	3010
532	23599	2966
533	23649	2922
534	23694	2878
535	23741	2834
536	23792	2791
537	23838	2747
538	23884	2703
539	23926	2658
540	23971	2614
541	24014	2569
542	24054	2525
543	24093	2480
544	24135	2435
545	24173	2390
546	24210	2345
547	24249	2301
548	24295	2256
549	24334	2212
550	24374	2167
551	24415	2123
552	24459	2078
553	24508	2034
554	24560	1991
555	24611	1947
556	24657	1903
557	24700	1859
558	24743	1814
559	24785	1770
560	24828	1726
561	24869	1681
562	24909	1637
563	24950	1592
564	24988	1547
565	25030	1503
566	25069	1459
567	25108	1414
568	25147	1370
569	25190	1325
570	25231	1281
571	25271	1237
572	25312	1192
573	25360	1148
574	25408	1104
575	25455	1060
576	25499	1016
577	25544	972
578	25588	928
579	25633	883
580	25680	839
581	25724	795
582	25768	751
583	25811	707
584	25854	662
585	25897	618
586	25941	574
587	25988	530
588	26028	486
589	26067	441
590	26111	397
591	26153	353
592	26194	309
593	26239	265
594	26286	220
595	26332	176
596	26374	132
597	26416	88
598	26460	44
599	26505	0

06	0
9	26702	0
