iter	MultiClass
334	0.3372006625
335	0.3367903272
336	0.3363246666
337	0.3357576107
338	0.3352272
339	0.3347334981
340	0.3344728779
341	0.3339219052
342	0.3334227819
343	0.3328785943
344	0.3325141853
345	0.331878474
346	0.3314697711
347	0.3312453731
348	0.3309341672
349	0.3306824824
350	0.3303122081
351	0.3300416863
352	0.3298051859
353	0.3294503764
354	0.3291868926
355	0.3289300836
356	0.3286587856
357	0.327853256
358	0.327721398
359	0.3274007173
360	0.3270489681
361	0.3266509738
362	0.3260577065
363	0.3257049146
364	0.3254722259
365	0.3248775107
366	0.3241905441
367	0.323632078
368	0.3233849252
369	0.3230449441
370	0.3227516221
371	0.3222891326
372	0.3217934762
373	0.3215178069
374	0.3209488713
375	0.3205295756
376	0.3202977969
377	0.3200512634
378	0.319843411
379	0.3194704441
380	0.318868212
381	0.3185384995
382	0.3181854686
383	0.3179156896
384	0.3176801764
385	0.3169840692
386	0.31643373
387	0.3162305546
388	0.3159171518
389	0.3157683273
390	0.3155783634
391	0.3151732683
392	0.3150190638
393	0.3146712456
394	0.31405868
395	0.3136494189
396	0.3135014213
397	0.3132340606
398	0.3129752378
399	0.3128922598
400	0.3123228598
401	0.3117706728
402	0.3111609407
403	0.3107504024
404	0.3104128916
405	0.3102093046
406	0.3099601631
407	0.3096736607
408	0.309283442
409	0.3088768905
410	0.3084476951
411	0.3079130023
412	0.307512302
413	0.3072234216
414	0.3069464498
415	0.3065258425
416	0.3062420094
417	0.305927521
418	0.3057345315
419	0.3055698609
420	0.3054073998
421	0.3050046177
422	0.3045490277
423	0.3040390748
424	0.3036795114
425	0.3035143679
426	0.3032566358
427	0.3029676723
428	0.3028145971
429	0.3022154578
430	0.3019597592
431	0.3017145123
432	0.3013454792
433	0.3011858671
434	0.3007123984
435	0.3005304395
436	0.3001829056
437	0.2998998545
438	0.2996657962
439	0.299524376
440	0.2991598113
441	0.2987688001
442	0.2985176626
443	0.2982358117
444	0.2979681122
445	0.2974801701
446	0.2971950848
447	0.2969100388
448	0.2965118127
449	0.2961399217
450	0.2957781687
451	0.2954240389
452	0.2952636581
453	0.2949081572
454	0.2946650217
455	0.2941399828
456	0.2938949644
457	0.2936966234
458	0.2932303252
459	0.2928885203
460	0.292469823
461	0.2922158145
462	0.2918049804
463	0.2913211044
464	0.2910073666
465	0.2906741598
466	0.2903902354
467	0.2899044981
468	0.2897165154
469	0.2893332323
470	0.289140304
471	0.2888702122
472	0.2885010723
473	0.2882579106
474	0.2879322685
475	0.2877118094
476	0.2872875819
477	0.2871628602
478	0.287057585
479	0.2868043222
480	0.286318826
481	0.2860170107
482	0.2857161267
483	0.2854677328
484	0.2851900355
485	0.2849815442
486	0.2845103985
487	0.2843514625
488	0.2842356384
489	0.284061611
490	0.2835014683
491	0.2831164195
492	0.2826766491
493	0.2823849205
494	0.2819967297
495	0.2817675168
496	0.2816193161
497	0.2813926885
498	0.2810854486
499	0.2805818436
500	0.2800757992
501	0.2795845509
502	0.2791342408
503	0.2787615214
504	0.2786011977
505	0.2781934327
506	0.2777984065
507	0.2774236386
508	0.2768870551
509	0.2766141436
510	0.2763621531
511	0.2761425894
512	0.2759307235
513	0.2757688931
514	0.2754593025
515	0.2751359228
516	0.2747892564
517	0.274448289
518	0.274337869
519	0.2740944504
520	0.2738801481
521	0.2737562257
522	0.2733403203
523	0.2729588429
524	0.2727964005
525	0.2726930666
526	0.2724485555
527	0.2721104906
528	0.2716422829
529	0.2714691418
530	0.2711345594
531	0.2708757816
532	0.270547299
533	0.2702899511
534	0.270156705
535	0.2699206856
536	0.2695773868
537	0.2691731356
538	0.2688878213
539	0.2687501947
540	0.2684337026
541	0.2678785299
542	0.2676988073
543	0.2673462792
544	0.2668606957
545	0.2665887707
546	0.2664034851
547	0.2660921815
548	0.2656200771
549	0.2652637824
550	0.265020388
551	0.2647100749
552	0.2645130379
553	0.2642872686
554	0.2640427614
555	0.2637287716
556	0.2633949998
557	0.2631065366
558	0.262869811
559	0.2626120603
560	0.2622122036
561	0.2619398739
562	0.2616040587
563	0.2613178355
564	0.2610854859
565	0.2609061027
566	0.2605732038
567	0.2603892833
568	0.2601901908
569	0.2597676361
570	0.259617126
571	0.2593113323
572	0.2591287062
573	0.2588315437
574	0.2586277851
575	0.2581806159
576	0.2579464169
577	0.2576934181
578	0.2574825669
579	0.2571821864
580	0.2569252242
581	0.2566017238
582	0.2564028374
583	0.2561398646
584	0.2558875535
585	0.2556515666
586	0.2554637122
587	0.2552748147
588	0.2550565806
589	0.2549470687
590	0.2546631496
591	0.2545619074
592	0.2543325229
593	0.2541655109
594	0.2539562881
595	0.2537795408
596	0.2534760224
597	0.2531417527
598	0.2530033279
599	0.2527131123
