iter	MultiClass
0	1.313768659
1	1.254054882
2	1.20565094
3	1.169153859
4	1.133915584
5	1.099954442
6	1.070396044
7	1.045559168
8	1.023028178
9	1.001055449
10	0.9808569985
11	0.9622181853
12	0.944488708
13	0.9307800346
14	0.9115327469
15	0.8967632233
16	0.88193271
17	0.8714491356
18	0.8605966698
19	0.8490791025
20	0.8352946321
21	0.8252102433
22	0.8152456928
23	0.8078119082
24	0.7976652752
25	0.7883376941
26	0.7806132202
27	0.7736975747
28	0.7651198702
29	0.7588833162
30	0.7532344437
31	0.7473441705
32	0.740327543
33	0.7338001552
34	0.7281973513
35	0.7230169463
36	0.7157439717
37	0.7092139951
38	0.7039774284
39	0.6979738403
40	0.6926855638
41	0.6878443595
42	0.6834050796
43	0.6782149738
44	0.6749884997
45	0.6704864016
46	0.6651157612
47	0.6608128843
48	0.6581471956
49	0.6540452264
50	0.6492940626
51	0.6455603988
52	0.6428372734
53	0.6398499046
54	0.6357936844
55	0.6325449322
56	0.6296680158
57	0.6274277888
58	0.6250970912
59	0.6208104159
60	0.6180856143
61	0.6148995503
62	0.6115848579
63	0.6075050703
64	0.6034521307
65	0.6008476908
66	0.5971583648
67	0.5946520229
68	0.592836464
69	0.5894287107
70	0.5864307127
71	0.5833370566
72	0.5802886911
73	0.5783139171
74	0.5759163975
75	0.5740726367
76	0.5722100731
77	0.5705235073
78	0.5689353627
79	0.567473606
80	0.5655121761
81	0.5636531548
82	0.5621008362
83	0.5599090443
84	0.5579384618
85	0.5560647125
86	0.5535791063
87	0.5520168379
88	0.5494522669
89	0.5477854822
90	0.5465034295
91	0.5437987737
92	0.5419751995
93	0.5405856504
94	0.5385115851
95	0.5367525609
96	0.535037792
97	0.5334852336
98	0.5324878829
99	0.5303211395
100	0.5282698304
101	0.5266521078
102	0.5245981839
103	0.5228646881
104	0.5210861029
105	0.5192238338
106	0.5174293363
107	0.5158041341
108	0.5144956856
109	0.5126300327
110	0.5107791046
111	0.5093443708
112	0.5074910017
113	0.5056362061
114	0.5037876331
115	0.5023788822
116	0.5012325172
117	0.5002825657
118	0.4986313204
119	0.4966047257
120	0.4955767877
121	0.4936190766
122	0.4921179563
123	0.4903335471
124	0.4892932203
125	0.486915871
126	0.4855785821
127	0.4838658659
128	0.4824911911
129	0.4811775326
130	0.4799204676
131	0.4792192515
132	0.4779787437
133	0.4769479515
134	0.4759700302
135	0.4747729682
136	0.4739886624
137	0.4725821267
138	0.4714646219
139	0.4704996945
140	0.4689456007
141	0.4676617766
142	0.4667830135
143	0.4651358364
144	0.4644909756
145	0.462918139
146	0.461632181
147	0.4603864053
148	0.4591949416
149	0.4573533388
150	0.4561092181
151	0.4548368057
152	0.4534070283
153	0.4522636883
154	0.4513878374
155	0.4502111528
156	0.4491180678
157	0.4482857556
158	0.447246624
159	0.4460888335
160	0.4448861336
161	0.444179606
162	0.4433391036
163	0.4422770774
164	0.44142755
165	0.440716383
166	0.4399131498
167	0.4391018711
168	0.4378724797
169	0.436844352
170	0.4360612497
171	0.4355635844
172	0.434073302
173	0.4333798407
174	0.4325466429
175	0.4319165578
176	0.431034726
177	0.4300936061
178	0.4295060747
179	0.4288653411
180	0.4278216497
181	0.4268073869
182	0.4262583459
183	0.4253553435
184	0.4244690964
185	0.4234682569
186	0.4222402929
187	0.4211374298
188	0.4207653573
189	0.4200411972
190	0.4194384475
191	0.4180039483
192	0.417222011
193	0.4165089036
194	0.4153265478
195	0.4147063936
196	0.4140088904
197	0.4136168545
198	0.4125250336
199	0.4117498689
200	0.4112458872
201	0.4104472695
202	0.4100781335
203	0.409412579
204	0.4083804067
205	0.4074680938
206	0.4071010694
207	0.4063554747
208	0.4056788874
209	0.404979969
210	0.4042841849
211	0.4037372753
212	0.4029484507
213	0.402310367
214	0.4017339826
215	0.4013347872
216	0.400469018
217	0.3999564452
218	0.3994702725
219	0.3986478779
220	0.398026282
221	0.3974284281
222	0.3968402537
223	0.3957409649
224	0.3952812176
225	0.394787725
226	0.3943297982
227	0.393531837
228	0.3931301415
229	0.3925413138
230	0.3920133147
231	0.3916101832
232	0.3912053721
233	0.3903832333
234	0.3895381335
235	0.3889731181
236	0.3883198034
237	0.3879303061
238	0.3875297684
239	0.3866700505
240	0.3861969843
241	0.385503829
242	0.3848868569
243	0.3842926082
244	0.3840771086
245	0.3834081821
246	0.3830841202
247	0.3826633258
248	0.3819331847
249	0.3813684549
250	0.3808876638
251	0.3802788156
252	0.3797849482
253	0.3792465205
254	0.3787031328
255	0.3779406182
256	0.3772544961
257	0.3762545599
258	0.3756494212
259	0.3749829729
260	0.3742791933
261	0.3737943452
262	0.3732368258
263	0.3725454474
264	0.3718688897
265	0.3712027305
266	0.3705100234
267	0.370170396
268	0.3692439696
269	0.3686341557
270	0.368111193
271	0.3676410486
272	0.3670226405
273	0.3664767853
274	0.3657720384
275	0.3653101072
276	0.3647965427
277	0.3645591291
278	0.3640574947
279	0.363545753
280	0.3627763338
281	0.3622533261
282	0.361826524
283	0.3613545422
284	0.3610575674
285	0.3606750861
286	0.3600329837
287	0.3595490053
288	0.3589793343
289	0.3581854508
290	0.3576481075
291	0.3572421781
292	0.3566697483
293	0.3561177264
294	0.3558749339
295	0.3552971997
296	0.354414364
297	0.3542107919
298	0.3538031662
299	0.353170629
300	0.3527553653
301	0.3523657127
302	0.3521789951
303	0.3516258802
304	0.3512858764
305	0.3510785523
306	0.3506774989
307	0.3500851188
308	0.3493961662
309	0.3488272184
310	0.3484225444
311	0.3476683132
312	0.3472534285
313	0.3467918665
314	0.3462992985
315	0.3458326066
316	0.3454604784
317	0.3452269362
318	0.3444968026
319	0.3434835839
320	0.3428375668
321	0.3426232653
322	0.3423261271
323	0.3418564192
324	0.3415775968
325	0.3410735767
326	0.3402868619
327	0.3399845029
328	0.339453878
329	0.3391165095
330	0.3388702932
331	0.3384426077
332	0.3380400787
333	0.3376212483
